ID,Review Date,Category,Title,IMDB Rating,RT Critics Rating,Moistmeter Rating,Genre
30,9/24/2017,Movies,Kingsman The Golden Circle,6.7,50,75,"Action, Adventure, Comedy"
31,10/1/2017,Movies,American Made,7.1,85,68,"Action, Comedy, Crime"
32,10/2/2017,Video Games,Cuphead,,,90,"Animation, Short, Action"
33,10/7/2017,Movies,Blade Runner 2049,8,88,75,"Action, Drama, Mystery"
34,10/12/2017,Video Games,Shadow of War,,,70,"Documentary, War"
35,10/14/2017,Movies,Happy Death Day,6.6,70,65,"Comedy, Horror, Mystery"
36,10/15/2017,Movies,The Foreigner,7,66,80,"Action, Thriller"
37,10/17/2017,Video Games,Evil Within 2,,,55,"Action, Adventure, Horror"
38,10/22/2017,Movies,The Snowman,5.2,7,20,"Crime, Drama, Mystery"
39,10/28/2017,Movies,Jigsaw,5.7,32,30,"Horror, Mystery, Thriller"
40,10/31/2017,Video Games,Wolfenstein 2,,,80,N/A
41,11/4/2017,Movies,Thor Ragnarok,7.9,93,85,"Action, Adventure, Comedy"
42,11/7/2017,Video Games,CoD WW2,,,65,"Animation, Short, Comedy"
43,11/16/2017,Video Games,Battlefront 2,,,40,N/A
44,11/20/2017,Movies,Justice League,6.1,40,55,"Action, Adventure, Fantasy"
45,12/4/2017,Movies,Hey Arnold Jungle Movie,,,80,N/A
46,12/12/2017,Movies,Disaster Artist,7.3,91,85,"Biography, Comedy, Drama"
47,12/17/2017,Movies,Star Wars The Last Jedi,7.3,91,70,"Short, Action, Fantasy"
48,1/2/2018,Movies,Pitch Perfect 3,5.8,28,25,"Comedy, Music"
49,1/2/2018,Movies,Bright,6.3,26,60,"Action, Fantasy, Thriller"
50,1/7/2018,Movies,Insidious The Last Key,5.7,33,20,"Horror, Mystery, Thriller"
51,1/13/2018,Movies,The Commuter,6.3,55,55,"Action, Mystery, Thriller"
52,1/16/2018,Movies,Paddington 2,7.8,99,90,"Adventure, Comedy, Family"
53,1/31/2018,Movies,Maze Runner The Death Cure,6.3,42,45,"Action, Adventure, Sci-Fi"
54,2/5/2018,Movies,Winchester,5.4,13,15,"Biography, Drama, Fantasy"
55,2/8/2018,Movies,The Cloverfield Paradox,5.5,22,45,"Action, Horror, Sci-Fi"
56,2/14/2018,Movies,Fifty Shades Freed,4.5,11,10,"Drama, Mystery, Romance"
57,2/17/2018,Movies,Black Panther,7.3,96,85,"Action, Adventure, Sci-Fi"
58,2/25/2018,Movies,Annihilation,6.8,88,90,"Adventure, Drama, Horror"
59,3/8/2018,Movies,Red Sparrow,6.6,45,35,"Action, Drama, Thriller"
60,3/11/2018,Movies,Wrinkle in Time,4.3,43,20,"Adventure, Drama, Family"
61,3/22/2018,Movies,Tomb Raider,6.3,52,60,"Action, Adventure, Fantasy"
62,3/24/2018,Movies,Pacific Rim 2,5.6,42,50,"Action, Adventure, Sci-Fi"
63,3/31/2018,Movies,Ready Player One,7.4,72,60,"Action, Adventure, Sci-Fi"
64,4/7/2018,Movies,A Quiet Place,7.5,96,90,"Drama, Horror, Sci-Fi"
